id	url
262	www.mundocomww.com
263	www.myt.mu
264	www.na-partners.com
265	www.naveo.mu
266	www.nemesys.mu
267	www.neo.co.mu
268	www.nerussolution.com
269	www.nest-outsourcing.mu
270	www.net2be.com
271	www.net2be.solutions
272	www.netsoft-ltd.com
273	www.network2b.com
274	www.neuf.fr
275	www.newedgesolutions.com
276	www.nexxit.webs.com
277	www.nitimea.com
278	www.ntlcabling.com
279	www.oceancallcentre.com
280	www.omega.mu
281	www.onlineoutsourcing.net
282	www.optimum-outsourcing.com
283	www.orange.com
284	www.orange.fr
285	www.orange.mu
286	www.orange-business.com
287	www.orgasys-ltd.com
288	www.orinux.com
289	www.orizzon.com
290	www.outprogroup.com
291	www.outremer-telecom.fr
292	www.pages.intnet.mu/ecall
293	www.parfip.com
294	www.parilink-websolutions.com
295	www.parliament-eu.eu
296	www.parlicentre.org
297	www.pascalcomputer.com
298	www.pascalcomputer.net
299	www.pecsdata.co.uk
300	www.perfectcall.mu
301	www.pexintl.com
302	www.pharmagest.mu
303	www.phoenixbpo.com
304	www.phoneo-group.com
305	www.photonics.mu
306	www.pioneerconsulting.org
307	www.portaluniverse.com
308	www.posterita.com
309	www.powersure.mu
310	www.pressemicro.com
311	www.prise.mu
312	www.procontact.mu
313	www.prodesign-globalsourcing.com
314	www.prodigious.com
315	www.prodigious.mu
316	www.proximasoft.com
317	www.proximitybbdo.fr
318	www.qualcall.mu
319	www.quick-computer.com
320	www.rcubeoutsourcing.com
321	www.redline.mu
322	www.rentacolormauritius.com
323	www.rgpartners-ltd.com
324	www.rhboutsourcing.com
325	www.r-mad.com
326	www.rosemees.com
327	www.rubric.co.za
328	www.rubric-consulting.com
329	www.sagemcom-mauritius.com
330	www.sagepastelmauritius.com
331	www.sagittariusglobal.com
332	www.saimltd.mu
333	www.sas-net-savvy.com
334	www.satairtime.com
335	www.sbs.co.mu
336	www.sc-mauritius.com
337	www.scomat.com
338	www.secureservices.mu
339	www.sedeco.fr
340	www.sedeco.intnet.mu
341	www.servecalls.com
342	www.service-internet-offshore.com
343	www.serviphony.com
344	www.sgfinancialservices.com
345	www.SGUILLEMIN.COM
346	www.siegenconsult.com
347	www.sil.mu
348	www.skbl.biz
349	www.slamdunksolutions.com
350	www.snitedu.com
351	www.softpro.mu
352	www.softproint.com
353	www.softwarelabs.intnet.mu
354	www.softwarelabsglobal.com
355	www.solero.mu
356	www.sophia.intnet.mu
357	www.spoonconsulting.com
358	www.ssml.biz
359	www.stormtelecom.mu
360	www.sublime.mu
361	www.sublimevisions.net
362	www.summ.it
363	www.symbiant.mu
364	www.synthesesmaurice.com
365	www.sysintel.net
366	www.systempluspioneer.com
367	www.tandemgold.com
368	www.task-informatics.com
369	www.taylorsmith.mu
370	www.tbsinformatics.com
371	www.tcf.cloud
372	www.teamhgs.com
373	www.teamsynthesis.com
374	www.telecom.mu
375	www.telelangue.com
376	www.teleservices.mu
377	www.teletravail-oi.com
378	www.teotys.com
379	www.teotysgroup.com
380	www.tessi.fr
381	www.tfsi-ltd.com
382	www.thallo-hospitality-solution.com
383	www.thedigitalkites.com
384	www.tlc-mauritius.com
385	www.tnanalysis.com
386	www.tntbusinesssolutions.com
387	www.tplc.mu
388	www.trade1on1.com
389	www.tradian.com
390	www.transcontinental.mu
391	www.tripfiller.com
392	www.twenty57.com
393	www.tylers.mu
394	www.udesign.mu
395	www.uniconsults.mu
396	www.univercelloutsourcing.com
397	www.user-tech.net
398	www.valdus.net
399	www.valldata.co.uk
400	www.vengineers.net
401	www.vesltech.com
402	www.vinivi.com
403	www.visionway.com
404	www.v-itmi.com
405	www.vjcomputerltd.com
406	www.voila.fr
407	www.v-trade.biz
408	www.vvvmauritius.com
409	www.vwr.com/mu
410	www.wearenativo.com
411	www.web-companies.com
412	www.webtell.mu
413	www.web-translations.com
414	www.westconafrica.com
415	www.whitesteps.com
416	www.wmedia.mu
417	www.wysiwyg.fr
418	www.xcommltd.com
419	www.xperts.fr
420	www.xworx.com
421	www.yello.mu
422	www.yourbo.fr
423	www.zenithcomputers.net
424	www.zethical.com
425	www.zoho.com
426	www.zoomphics.com
427	www.slxntech.com

